Hidden Layers,Learning Rate,Batch Size,Optimizer,Batch Norm,Weight Decay,Dropout,Train Loss,Val Loss,Val Accuracy,Val Recall,Val F1,Time Taken Test,Time Taken CV,Train Losses CV,Val Losses CV
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.2, 0.3, 0.3, 0.2]",1.0702402598686886,2.3285437940789984,0.3435,0.3438234711000337,0.3361406047108573,24.118269443511963,4.839635848999023,"[1.47187421 1.30829224 1.22821743 1.19050721 1.09402001 1.09011333
 1.12469968 1.11917832 1.10232435 1.05756686 1.07024026]","[2.22957297 2.24457498 2.30791252 2.33096851 2.34859991 2.39421319
 2.47340326 2.33907281 2.2562403  2.40321461 2.32854379]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.2, 0.3, 0.3, 0.2]",0.9933596217777063,2.3187172197755173,0.3366,0.3354761052699555,0.33189145064277387,24.118269443511963,4.793874740600586,"[1.48221659 1.23454158 1.15874683 1.17078431 1.20168256 1.09436182
 1.12576579 1.05691945 1.09533421 1.04219113 0.99335962]","[2.25582064 2.3406782  2.37541048 2.39424733 2.48963831 2.46362632
 2.31566454 2.54778021 2.4112129  2.48953367 2.31871722]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.2, 0.3, 0.3, 0.2]",0.958555760196524,2.668074334952416,0.3117,0.312422244957607,0.3048478294141269,24.118269443511963,4.747169017791748,"[1.42492135 1.21444762 1.18157567 1.12696713 1.11793286 1.13929667
 1.15068347 1.0704843  0.99909651 1.00293509 0.95855576]","[2.2788525  2.36525156 2.4414557  2.36873587 2.49618543 2.43810611
 2.50426055 2.4287778  2.47199382 2.38899168 2.66807433]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.2, 0.3, 0.3, 0.2]",1.056604505997924,2.43436804579643,0.3255,0.32582249147891446,0.323296640985989,24.118269443511963,4.7060747146606445,"[1.3644482  1.25040459 1.22550607 1.14352664 1.10485831 1.14826304
 1.10236032 1.13013532 1.08083238 1.03689135 1.05660451]","[2.26696753 2.3954255  2.37684052 2.29213744 2.50021354 2.31887145
 2.41777197 2.3572314  2.43163078 2.44724465 2.43436805]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.2, 0.3, 0.3, 0.2]",1.0743245571633644,2.3943169354192384,0.3276,0.3280615132879746,0.3275963805767536,24.118269443511963,4.843091011047363,"[1.45977198 1.28691467 1.20863443 1.17293057 1.17818325 1.13286901
 1.09784935 1.10994893 1.07769302 1.13208461 1.07432456]","[2.20409038 2.25078449 2.27012164 2.27937267 2.38932377 2.40718732
 2.55579696 2.51435489 2.40045381 2.30624867 2.39431694]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.4, 0.4, 0.0]",1.498732565415569,2.3567931481326325,0.323,0.3237687970543296,0.3117635984981953,39.862552642822266,5.343595027923584,"[1.46949417 1.37281094 1.35301775 1.36669446 1.34124361 1.38539677
 1.43632108 1.45075553 1.47894205 1.48184689 1.55435371 1.47098672
 1.49873257]","[2.2607843  2.2658675  2.24013831 2.24969338 2.33081794 2.38296058
 2.25708308 2.35322137 2.32822331 2.308667   2.31867769 2.24626247
 2.35679315]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.4, 0.4, 0.0]",1.5800281884114837,2.393377639943092,0.336,0.33678712007274514,0.3279024074875694,39.862552642822266,12.017742156982422,"[1.47317145 1.33221624 1.38016314 1.37225571 1.45070524 1.47577764
 1.40919897 1.47235764 1.39871788 1.39349286 1.40988193 1.40345873
 1.5202218  1.60824081 1.63805912 1.56905521 1.6069111  1.53559926
 1.6253998  1.59372255 1.5052702  1.61477009 1.61218796 1.53623223
 1.56875003 1.56864708 1.58002819]","[2.22136622 2.23758105 2.31171371 2.31544905 2.29775294 2.20842541
 2.35236921 2.17908328 2.33623014 2.43593901 2.30838532 2.29982829
 2.41997148 2.24268221 2.16161288 2.30944239 2.15734041 2.41352316
 2.19457211 2.26679162 2.38817114 2.26751528 2.45307066 2.32817749
 2.33264849 2.4517474  2.39337764]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.4, 0.4, 0.0]",1.5298680258039485,2.3280702929593136,0.3184,0.31992582078205145,0.3202361119792175,39.862552642822266,6.631905794143677,"[1.47348135 1.39821828 1.4142505  1.47653452 1.44441503 1.49107359
 1.55399712 1.58268789 1.5708261  1.53600489 1.54792526 1.52409104
 1.44713853 1.52986803]","[2.21038867 2.26232883 2.27140855 2.20713056 2.31507962 2.23888366
 2.30096955 2.27807501 2.3753698  2.30589869 2.31367325 2.27891604
 2.29570798 2.32807029]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.4, 0.4, 0.0]",1.40166754116328,2.466486351067673,0.3031,0.3042991017283109,0.29986660168169743,39.862552642822266,4.655157804489136,"[1.5025503  1.3548524  1.3846282  1.34988376 1.42485352 1.40774219
 1.44402113 1.47273941 1.54739534 1.51181269 1.40166754]","[2.19050807 2.30626383 2.34610612 2.31325242 2.29662041 2.34826325
 2.24948497 2.27786979 2.29370029 2.34129839 2.46648635]"
"[128, 64, 32, 10]",0.001,128,,False,0.0,"[0.0, 0.4, 0.4, 0.0]",1.5108683484047323,2.630943423393229,0.3502,0.34925872817828924,0.3374911114893712,39.862552642822266,11.032825946807861,"[1.46625103 1.38467956 1.30814932 1.32177725 1.42134603 1.39689881
 1.49836598 1.47999501 1.52038182 1.43174229 1.4904173  1.54545693
 1.47336588 1.58871246 1.56140521 1.60591449 1.54340295 1.55747093
 1.51339025 1.5768428  1.55517938 1.57702295 1.56743065 1.59790525
 1.57210231 1.51086835]","[2.19892483 2.34128395 2.3602337  2.31139396 2.34280668 2.34407211
 2.22353419 2.18378942 2.23511182 2.29083503 2.41491196 2.29729281
 2.33327067 2.21451967 2.20133985 2.16879619 2.37005957 2.24852386
 2.481049   2.25792493 2.34143685 2.22458838 2.2274664  2.34392963
 2.47509325 2.63094342]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.0, 0.0, 0.0]",0.2579069842032188,4.775347703736763,0.294,0.2942797659294417,0.2940511576913837,23.28597855567932,4.534605503082275,"[0.45417665 0.27563248 0.21460832 0.22325605 0.24628522 0.22679437
 0.21042258 0.206615   0.22822893 0.24404426 0.25790698]","[3.62849497 4.24730199 4.29293317 4.56644725 4.57682158 4.20972927
 4.70153923 4.84530426 4.48706423 4.42117636 4.7753477 ]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.0, 0.0, 0.0]",0.20494644170980647,4.820015946578109,0.3053,0.3048328399068282,0.3041398727048374,23.28597855567932,4.457612037658691,"[0.3910352  0.25044081 0.22334425 0.20891329 0.19650029 0.20179987
 0.19330983 0.20459416 0.2188165  0.1764914  0.20494644]","[3.61870629 4.13609333 4.23902534 4.20477849 4.76095031 4.40216609
 4.49180835 4.49127216 4.39980301 4.91447538 4.82001595]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.0, 0.0, 0.0]",0.1731156926167679,4.990058969659005,0.2886,0.2889541742338893,0.28519629167154664,23.28597855567932,4.485391855239868,"[0.45415723 0.22318681 0.19720604 0.24192249 0.18685652 0.18835105
 0.2090372  0.17066459 0.19700656 0.19753591 0.17311569]","[3.71691943 4.18835749 4.34879866 4.29793963 4.79552025 4.67339642
 4.72495366 4.56953037 4.60014101 4.73941378 4.99005897]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.0, 0.0, 0.0]",0.20468213974235866,4.989746859551707,0.3071,0.30726455041533574,0.3020442244890939,23.28597855567932,4.369439601898193,"[0.42082567 0.23628501 0.23817752 0.19827063 0.19202219 0.21266933
 0.19023807 0.17269427 0.1912027  0.21403473 0.20468214]","[3.70820849 4.18803512 4.40962761 4.39616673 4.48347238 4.30316081
 4.58301815 4.58923228 4.80326384 4.42589963 4.98974686]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.0, 0.0, 0.0]",0.27159421051728977,5.059695628391079,0.2918,0.29183034677830305,0.28682352180514964,23.28597855567932,5.217787981033325,"[0.43328886 0.23008816 0.22083271 0.19342318 0.22556299 0.23799282
 0.22377965 0.23997471 0.2233344  0.21914387 0.18518303 0.23253662
 0.27159421]","[4.04316544 4.36976636 4.03136995 4.48249776 4.9752757  4.71925404
 4.6838871  4.28829103 4.60258908 4.75241998 4.891405   4.63710304
 5.05969563]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.2, 0.2, 0.0]",0.8498617344117753,3.338159713905092,0.3108,0.31081132456214366,0.3078850235027823,23.178359031677246,4.570800542831421,"[0.94398828 0.73127012 0.65455202 0.68004296 0.71422942 0.68148566
 0.7037014  0.78713429 0.72457558 0.7608666  0.84986173]","[2.86888642 3.17672417 3.31057368 3.36730594 3.36867786 3.33472367
 3.36399303 3.08946221 3.2507572  3.53694248 3.33815971]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.2, 0.2, 0.0]",0.9722226161319554,3.279506176385072,0.3004,0.29999624364495125,0.2953351905222389,23.178359031677246,4.634982347488403,"[0.97286186 0.78054017 0.7683098  0.71410095 0.73217072 0.78767647
 0.91748955 0.8870298  0.89257146 0.93879614 0.97222262]","[2.72769741 2.85073361 3.19748306 3.20936607 3.01802728 3.11497447
 3.31856226 3.11121512 3.32104468 2.87174543 3.27950618]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.2, 0.2, 0.0]",0.9419434739051309,3.1210136993457147,0.3021,0.3034877682586654,0.29893077011484087,23.178359031677246,4.554860353469849,"[0.9034622  0.71418001 0.66447091 0.71124929 0.75225512 0.77002509
 0.83608875 0.83614265 0.92510628 0.89281505 0.94194347]","[2.7214765  3.01815811 2.99304663 2.98592649 3.40667132 3.29915323
 3.06928658 3.25321809 3.03175515 3.04059205 3.1210137 ]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.2, 0.2, 0.0]",0.8817572977047785,3.4753979628769143,0.3133,0.313106202182785,0.31006122754209764,23.178359031677246,4.647794961929321,"[0.91109236 0.74874757 0.74449792 0.69404828 0.71951155 0.72111062
 0.71516534 0.7393134  0.73854454 0.79989258 0.8817573 ]","[2.86304891 2.98982727 3.07335304 3.09548476 3.50001151 3.75992484
 3.41266656 3.3738174  3.57650774 3.35444904 3.47539796]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.2, 0.2, 0.0]",0.9213740324543783,3.252087015434366,0.3224,0.3213615735801991,0.3147943412370248,23.178359031677246,4.591917514801025,"[0.93826638 0.73205359 0.66823937 0.70060475 0.73967928 0.81774754
 0.83207613 0.79803997 0.8171072  0.8400384  0.92137403]","[2.82807383 2.85850078 3.29907305 3.32363941 3.39189335 3.17492149
 3.13680956 3.22704747 3.10370937 3.3621938  3.25208702]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.2, 0.3, 0.3, 0.2]",1.068952018289853,2.343963105673538,0.3,0.3003944906564333,0.2985133336390936,34.33866596221924,5.422777891159058,"[1.42397695 1.29102388 1.23198821 1.19172666 1.26500831 1.16492006
 1.13358246 1.11691303 1.10290874 1.07016676 1.0118245  1.06895202]","[2.23251731 2.12761773 2.19574328 2.25176654 2.22067392 2.26744117
 2.41068262 2.39174407 2.37048959 2.33209377 2.57977268 2.34396311]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.2, 0.3, 0.3, 0.2]",1.0752043417611434,2.3601575193520694,0.3167,0.3166655463051152,0.3083981765932285,34.33866596221924,4.818966865539551,"[1.41706555 1.27460116 1.12631409 1.16330205 1.11833303 1.08667911
 1.07259552 1.07848638 1.03732401 1.01231993 1.07520434]","[2.19855256 2.32992502 2.37547658 2.48806048 2.39491403 2.35147523
 2.29662259 2.39221176 2.46156459 2.48199188 2.36015752]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.2, 0.3, 0.3, 0.2]",1.0295875457464094,2.3496100638811255,0.3395,0.33903429232065035,0.33506918957033865,34.33866596221924,8.77384638786316,"[1.45426711 1.2780044  1.20878106 1.17301172 1.12849512 1.14840518
 1.09468133 1.10142997 1.13922234 1.06127721 1.06323107 1.049156
 1.02379824 0.9872709  0.99902214 1.02440985 1.03427669 1.01145741
 0.96582742 1.02958755]","[2.27606962 2.35993458 2.34884959 2.40735385 2.34246644 2.3533021
 2.27781765 2.32721125 2.34273991 2.24259164 2.29868852 2.48245498
 2.48552516 2.44276978 2.54120202 2.44086788 2.56056468 2.50942749
 2.45513083 2.34961006]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.2, 0.3, 0.3, 0.2]",1.0379933728704454,2.3434623267843904,0.3456,0.3447318876408373,0.33845566213219475,34.33866596221924,8.499068021774292,"[1.41944649 1.29713555 1.25705723 1.17586911 1.14815298 1.17706973
 1.17628494 1.11596785 1.14135335 1.14089377 1.06785837 1.17909135
 1.14038551 1.09873026 1.15651599 1.11884758 1.08177494 1.07429674
 1.03799337]","[2.23491171 2.25080758 2.3023261  2.48228228 2.27354055 2.28722808
 2.33144028 2.334575   2.21740499 2.27039225 2.23949576 2.26961319
 2.28586723 2.31075481 2.26224204 2.31862811 2.37616389 2.37522969
 2.34346233]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.2, 0.3, 0.3, 0.2]",1.0123928542191396,2.4178498123683094,0.3217,0.3219951226773098,0.3170962501423938,34.33866596221924,6.5660014152526855,"[1.46399698 1.26522885 1.22702978 1.223498   1.14142779 1.12651696
 1.10665456 1.13570281 1.06563508 1.03035339 1.06453834 0.99979432
 1.07297484 1.06869824 1.01239285]","[2.25150324 2.34991884 2.33237366 2.4361331  2.22816374 2.41530866
 2.2673594  2.23856011 2.43650982 2.40152984 2.57678363 2.36971349
 2.35463734 2.45051006 2.41784981]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.4, 0.4, 0.0]",1.600368343596929,2.238352011508746,0.3248,0.3260743997326115,0.3158857055178827,36.9781596660614,5.564406633377075,"[1.42479996 1.33437858 1.40065344 1.37020032 1.44039675 1.43601989
 1.43062215 1.39641984 1.45038978 1.47127386 1.47314681 1.48227271
 1.60036834]","[2.29174385 2.30774538 2.17097879 2.36064825 2.21165605 2.23457317
 2.36548428 2.3772179  2.27142026 2.30875386 2.34722858 2.30856685
 2.23835201]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.4, 0.4, 0.0]",1.6160131442175198,2.2160784769045034,0.3268,0.32615654602941657,0.32125046246589883,36.9781596660614,6.720566272735596,"[1.48558194 1.35493262 1.40353448 1.44235693 1.44577241 1.47955972
 1.46632459 1.42606691 1.52465005 1.42683437 1.5097049  1.53872226
 1.49425666 1.51934502 1.53754316 1.61601314]","[2.19325835 2.25351038 2.25877312 2.33552719 2.27920022 2.1570527
 2.37112241 2.23746307 2.2336729  2.36906654 2.23519046 2.26215493
 2.22490191 2.21593463 2.28068245 2.21607848]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.4, 0.4, 0.0]",1.6154452343817027,2.355899987896927,0.3162,0.31897493929014964,0.3124428854915444,36.9781596660614,9.21202540397644,"[1.46592255 1.3579534  1.35936643 1.3759856  1.33398735 1.39462699
 1.40048859 1.40833429 1.49919804 1.53951127 1.51970224 1.54264117
 1.55284712 1.47495536 1.54777146 1.55064212 1.55848997 1.54363202
 1.60651463 1.59897886 1.60467647 1.61544523]","[2.2742323  2.26818021 2.22011628 2.35572521 2.34387791 2.28825745
 2.26182797 2.30733791 2.28963835 2.23170371 2.23049117 2.19653834
 2.39579346 2.42906248 2.3380554  2.29379405 2.32086884 2.40783731
 2.32560246 2.28376281 2.38016014 2.35589999]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.4, 0.4, 0.0]",1.63642888229668,2.418191495946189,0.3115,0.3128454048652382,0.30464528375159877,36.9781596660614,9.116778135299683,"[1.55689805 1.42717912 1.3798076  1.49172859 1.43200935 1.4914728
 1.5204338  1.47996819 1.50551416 1.5530178  1.63690827 1.52295367
 1.54344269 1.60647986 1.49950704 1.46246034 1.54791158 1.55950492
 1.59472892 1.63642888]","[2.2429551  2.24365835 2.28020032 2.22419151 2.28702604 2.26728185
 2.23002041 2.23514631 2.26551883 2.21699209 2.23750981 2.32417613
 2.23259388 2.26538865 2.33290156 2.31047707 2.23853008 2.35384919
 2.31141769 2.4181915 ]"
"[128, 64, 32, 10]",0.001,128,,False,0.0001,"[0.0, 0.4, 0.4, 0.0]",1.5542980236750126,2.1935414666972566,0.3073,0.30647960439056166,0.2976299370838022,36.9781596660614,6.1655964851379395,"[1.49099407 1.33859097 1.4147066  1.40719253 1.31249745 1.36949272
 1.40707939 1.43332058 1.39701589 1.40241818 1.45304694 1.48214468
 1.53139396 1.55429802]","[2.34909352 2.21600042 2.27199914 2.19340361 2.3138047  2.37589537
 2.28235406 2.34141705 2.31351418 2.37379362 2.5907648  2.38717207
 2.29591801 2.19354147]"
"[128, 64, 32, 10]",0.001,128,,False,0.001,"[0.0, 0.0, 0.0, 0.0]",0.1754899165034174,4.933514144632226,0.3091,0.31055483349553825,0.30714432471409336,22.65104603767395,4.524914503097534,"[0.45613389 0.23390526 0.20929603 0.19746018 0.19270707 0.18358076
 0.19889976 0.18579927 0.20257927 0.19765291 0.17548992]","[3.61059116 4.28351969 4.28243696 4.39469771 4.63201318 4.48775961
 4.46443995 4.71489051 4.76534331 4.51354131 4.93351414]"
