Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 16}","[1.1145605046095581, 0.8633892752618776, 0.7593970447971419, 0.7364865258939343, 0.7055835665726731, 0.7487159280531215, 0.7251281239513505, 0.7384980564242142, 0.7040316049750058, 0.7194802588476861, 0.7293328368866201]","[2.404819402289591, 2.6919344788206923, 2.817158755621947, 2.769916330746002, 2.4991494092186493, 2.842993136602922, 2.806424000215561, 2.729152956956059, 2.8443208887594413, 2.8029784696850712, 2.507862069674559]",0.3685,0.36783580761389223,0.36593896426352485,5.77518630027771,11
2,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 16}","[1.112485014714076, 0.8824422301618582, 0.7995575666688245, 0.7943049812257951, 0.771190445222569, 0.783919468446252, 0.783056214318845, 0.7497518541710286, 0.7208218244794287, 0.7668106533351223, 0.7292243582303323]","[2.49114139785859, 2.5895982627607608, 2.5285205845356025, 2.6589147316187525, 2.762138733261015, 2.7614652593849955, 2.6209969869370178, 3.0273173942618867, 2.7401849154595728, 3.0328985449222405, 2.7825160268374347]",0.3554,0.3562874718666317,0.3466149934431485,6.115143299102783,11
3,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 16}","[1.1211503670764897, 0.8675616147582743, 0.8021163584192039, 0.7441387791136196, 0.790500500420523, 0.7617864390950344, 0.7464705248899914, 0.7483514017835206, 0.817773292901255, 0.7685948839951345, 0.7902792659422595, 0.8509835882384481, 0.8729248307750597, 0.8207614328678555, 0.7979335249510641]","[2.508929365227428, 2.592117813654257, 2.8522103448656067, 2.461737028820444, 2.4429235726386316, 2.7431720968608273, 2.7242358128271356, 2.6037579853181976, 2.52666650177929, 2.705742189490297, 2.69520704209338, 2.5659691805784997, 2.6072664902334424, 2.8849166350500415, 2.4735829999212857]",0.3566,0.35514149158192143,0.3491501836210511,7.729716539382935,15
4,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 16}","[1.1503284853446074, 0.8218676020010269, 0.7716321545597385, 0.7270795566126107, 0.7044074322168689, 0.7372219579852651, 0.7114241058088208, 0.7562165838139723, 0.7623809518201753, 0.8107275482935805, 0.7412372167990625, 0.7473373320246397, 0.8260342113002429, 0.8295857054095244, 0.7835208699454542, 0.7356998601940093, 0.6963754560459964, 0.8068825418230926, 0.7793834359835069, 0.7700003347850203, 0.774568427460763, 0.7955038692946235]","[2.515494159305183, 2.6131472488455367, 3.0636420786894063, 2.7087775790375725, 2.7539261403137143, 2.469742320077285, 2.8492965399820562, 2.678486400454996, 2.4379786576350204, 2.762162038004995, 2.692333433668437, 2.7886692513621236, 2.4592003893608925, 2.5782170414966976, 2.611581751510909, 2.7379210026628638, 2.754874240788279, 2.6644809493775914, 2.3970157106575747, 2.5387485876114577, 2.5644227562765134, 2.686439752998483]",0.3619,0.36304229493542856,0.35836626882624834,10.925594329833984,22
5,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 16}","[1.0816734971609414, 0.7848584869310847, 0.7083528801468446, 0.747798422169688, 0.6872040396834551, 0.7009461805432741, 0.6608675566876471, 0.6629120799352065, 0.7069373278088773, 0.6627556467565826, 0.7049522413324792, 0.7084779013718404, 0.6719903720272828, 0.6990547055709201, 0.6836425465921805, 0.6906568699149614, 0.6747669676958944, 0.6901593602117485, 0.6797940909267816, 0.6753903724531009, 0.757192548837246]","[2.795345716183328, 2.7189728066279892, 3.0646641217979727, 2.884178948359347, 2.892559632900247, 2.793779251044213, 3.0018485647727817, 3.042002558393968, 2.641491218349715, 2.6951744941774254, 2.557578840210068, 2.91474454484917, 2.9434066523797133, 2.8145124527205843, 3.207497121761935, 2.771177668256902, 3.0798926164972973, 2.7814074951678953, 2.732215426976109, 2.6586612002028382, 2.82846096473538]",0.3333,0.3340282782988417,0.3322941978436871,10.567791223526001,21
1,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 8}","[1.497802921540594, 1.2358099843626082, 1.1487113702816287, 1.1042128927322248, 1.0188863219163995, 0.9795975448364825, 0.9505867966824547, 0.9679290338156956, 0.9693144379178593, 0.9134247480101719, 0.884297720713867]","[1.9353316786936208, 2.0847459241169024, 2.0405537044267965, 2.0192984246818964, 1.9377086772654333, 2.2426872161747764, 1.9952089438941694, 2.055474568880773, 1.9907406954137408, 1.9971072895803965, 2.2237317056404184]",0.3699,0.37245721945498095,0.3589190336694507,9.088713884353638,11
2,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 8}","[1.4852647570472306, 1.222698329061181, 1.1163379136076692, 1.0548679726183776, 0.9971209884808326, 1.0230713743343793, 0.9813066884878253, 0.9750270237634624, 0.9224885319302675, 0.9261903788895408, 0.9403191360904187, 0.8954526633987036]","[2.0165329893998205, 1.9714395974444447, 2.099130259924226, 1.9786740561748717, 2.0006449318524324, 2.1413626649364184, 2.289774590889325, 2.1207614206372334, 2.0129648785158816, 2.1404579222655133, 2.052255908850204, 1.9839921184175728]",0.3924,0.3931723008492722,0.39319394219806797,9.74618911743164,12
3,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 8}","[1.516697121743332, 1.2527265692711738, 1.1444212100278528, 1.0812811976278762, 1.0689210792522312, 1.0285098689980823, 0.9876877208820061, 0.965956161442343, 0.9435238133084444, 0.9242437762713471, 0.8772290462986897, 0.8717903897836919, 0.8897223494008955, 0.9028669940465541, 0.8476341057848229]","[1.9632366304653943, 1.9479045326037725, 2.0800002284319894, 2.1403133165111825, 1.893695169364451, 2.0330290371039763, 2.087747876712122, 2.066826374658323, 2.162223955681126, 2.015433227299301, 2.0299593217436263, 2.059610150649403, 2.008684646323689, 2.1064744000924485, 2.1530532378745475]",0.3917,0.3912696716182417,0.3813308041815136,12.007569313049316,15
4,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 8}","[1.4438919079662693, 1.2120392658555255, 1.1105366594151878, 1.047499864444141, 1.0332033351823138, 1.000876415672204, 0.9721753477158218, 0.9288287044589084, 0.9309953936796074, 0.8930454867125313, 0.9011784703428257, 0.8648733952562099, 0.8932488504588469, 0.8620114845615253, 0.8594388326903035]","[1.9934382817846228, 2.1773276591114428, 2.0863676322778204, 2.2472802132714578, 1.9800188105071335, 2.0044017747324987, 2.0418697789653417, 2.042464163528257, 2.0322491603037367, 2.074872465865554, 2.186717012780431, 2.08742162565905, 2.1196566901926968, 2.1952872423840053, 2.0640627437638415]",0.4115,0.4120761770122692,0.4076572401926848,12.153297185897827,15
5,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 8}","[1.4586759281254726, 1.2243943896701455, 1.102198230649854, 1.078261312802521, 1.0241170600632634, 0.9785855704837879, 0.9666197121730056, 0.9258725952281628, 0.908466283891226, 0.9018138276504818, 0.9130948945264139, 0.8918076554053419, 0.8849719730295379, 0.8925000712971985, 0.8505732794788002, 0.8826011140633342, 0.8772973361154187]","[1.9876736622160727, 1.9584273220357284, 2.050549543663033, 2.172934903197928, 2.129865771449207, 1.9987167490937239, 1.9432470865283635, 2.084172576388289, 2.173076273003727, 2.079928748670959, 2.0402588696602364, 2.114540277828969, 2.076405535174979, 2.043515299432465, 2.0954091057916098, 2.0280672953639556, 2.2425351515370604]",0.3866,0.38729539359851206,0.37375195910587666,13.5780348777771,17
